#,Name,Dominion,Class,Role,Role Details,ID,Effect Name 1,Effect Type 1,Effect Details 1,Effect Name 2,Effect Type 2,Effect Details 2,Keywords,Ether,Prowess,Fortitude,Artwork,#Artwork Config,Flavour,Lore,Name Inspiration,Art Direction,Mechanic(s)
0001,Flint Dross,Rhavlika,CHAMPION,,,01RHA-01CHP-0001,SMOLDER,FREE ACTION,"All allies within **AURA(5)** become ""Molten"". If an ally is already ""Molten"", **SHIELD(1)** them instead.",,,,"RANGE(5), FORCE({M3/Icons/Dice/SQUARE.png})",,10,6,https://drive.google.com/thumbnail?id=13WI_tpSTqyzwtA2mRLllfj-4aCGBu9qZ&sz=w200,".png,50,0,100","""The God Weave weighs heavy, only the strong can resist being buried.""",,Flint (hard quartz rock used to spark fire) + Dross (scum/impurities on molten metal),,"!RANGE(5), !FORCE, ~Molten, #SHIELD"
0002,Ignatius Krag,Rhavlika,CHAMPION,,,01RHA-01CHP-0002,WILDFIRE,ABILITY,"During your opponent's epilogue, deal 2d2 damage to all enemies within **BLAST(1)** of each ally. If there are 3+ ""Molten"" allies within **AURA(5)** of this character, during your opponent's epilogue, this character deals an additional 2d2 damage to all enemies within **AURA(5)**.",,,,"RANGE(3), FORCE({M3/Icons/Dice/SQUARE.png})",,10,8,https://drive.google.com/thumbnail?id=10usCQKvF2-UdVcfz9MIIVhPN95oMUI0j&sz=w200,".png,50,0,100","""Burn hard, burn bright!""",,"Ignatius (fiery/Latin ""ignis"") + Krag (Crag, rugged rock)",,"~Molten, !RANGE(3), !FORCE, #Direct Damage, #BLAST, #AURA"
0003,The Kovarine,Rhavlika,FAMILIAR,COMPANION,Flint Dross,01RHA-02COM-0003,CONVECTIONS,ABILITY,"When this character becomes ""Molten"", **HEAL(2d2)** them. When this character becomes no longer ""Molten"", **SHIELD(2d2)** them.",,,,,8,8,8,https://drive.google.com/thumbnail?id=1dTiOCKfVQz16qqMxI7w0pheX8z9atgGS&sz=w200,".png,100,0,100",It's unwise to stand between a mother and her cubs.,,"Reference to a blacksmith + ""-ine""",A polecat/bear mix could use the binturong as a base but need bulk it up. I really want to capture the arched back of a polecat.,"~Molten, #HEAL, #SHIELD"
0004,Scoriath,Rhavlika,FAMILIAR,COMPANION,Ignatius Krag,01RHA-02COM-0004,BLAST FURNACE,ABILITY,"Whilst this character is ""Molten""; they gain **BLAST(1)**. If this character is ""Molten"", after they perform an *attack*, they summon a ""Fissure"" on each unoccupied space designated by the *attack*.
Each ""Fissure"" is a *catalyst* and *hazard* that allies may trigger to become ""Molten"", and causes enemies to suffer 2d2 damage. Each ""Fissure"" is removed after triggering. This effect persists until the last ""Fissure"" is removed.",,,,,8,8,8,https://drive.google.com/thumbnail?id=17sfyinMFP58lMh-vmaLwcl_km2L_d4MB&sz=w200,".png,50,0,100","The forgemaster's saw a forge that burned too hot, Ignatius saw a kindred spirit.",,"Scoria (cinderlike volcanic rock) + ""-th""",A forge elemental. Sentient equipment with limbs. Vomits slag as part of its attack.,"~Molten, #BLAST, #Catalyst, #Hazard, #Direct Damage, ~Fissure"
0005,Obduron,Rhavlika,FAMILIAR,,,01RHA-03FAM-0005,GUARDSTONE INTERCEPT,FREE ATTACK REACTION,"When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** against that enemy.",,,,RIPOSTE,6,6,6,https://drive.google.com/thumbnail?id=1BLEjPwIXSnFW--FhZSmmDEi-Yihnw-yv&sz=w200,".png,50,0,100",Traditionally used as gatekeepers and wardens.,,"Obdurate (stubborn/unyielding) + ""-on"" suffix (implies heaviness/construct)",Stonehenge like golem. Large forearms that form a blocking wall. Small spikes of flint peaking through an otherwise granite body.,"#RIPOSTE, #Intercept"
0006,Cinderhulk,Rhavlika,FAMILIAR,,,01RHA-03FAM-0006,FULMINATE SLAM,ATTACK MANOEUVRE,"Move this character to an available space within **RANGE(6d2)**, they then perform a **BLAST(1)** **ATTACK(-2)** on that space.",,,,,5,6,6,https://drive.google.com/thumbnail?id=1pmrDHwhcRp4Nsg9OrmPcjlG0XxS9PnOU&sz=w200,".png,50,0,100","By the time you realise it's very large but far away, it's become very close.",,"Cinder (burnt piece of coal/wood) + Hulk (large, heavy mass)",Magma minotaur but a ram's head. Thinking that a mountain goat will explain the leaping.,"#Move-and-Attack, #Bonus Movement, #BLAST"
0007,Saltpetre Pellobok,Rhavlika,FAMILIAR,,,01RHA-03FAM-0007,VOLATILE,ABILITY,"If this character is ""Molten"", when they suffer damage, each enemy within **BLAST(2)** suffers an **IMPACT(3)**, then remove this character as defeated.",,,,,4,4,4,https://drive.google.com/thumbnail?id=1weGVLEE8aZxY6ACnSRfcm92tX4kefm9dsz=w200,".png,50,0,100","Young apprentices learn by summoning pelloboks, not the exploding kind.",,Saltpetre (potassium nitrate) + Kolobok (Slavic round doughboy) + Pello (round),A small round ball of saltpetre. Small stubby legs barely hold it off the ground.,"#IMPACT, #BLAST"
0008,Shiverlate,Rhavlika,FAMILIAR,,,01RHA-03FAM-0008,LIQUIFATION,ATTACK,"This character performs an **AURA(2)** **ATTACK** that causes enemies to become ""Interred"" until after their next activation, but does not deal bonus damage.
Each ""Interred"" character is **SLOWED**, if it would become ""Interred"" again it is **ROOTED**.",,,,STEALTH,5,6,6,https://drive.google.com/thumbnail?id=1P1JB4y00J9oUcRgBnrUKidTKgaSxNTKZ&sz=w200,".png,50,0,100",The ribbing along its skin vibrates and breaks apart even the densest of soil.,,Shiver + Slate/Late (cold stone),"A giant earthworm. This was not going to be an ""elemental"" made from the earth but and actual creature the Rhavlikans have domesticated.","#STEALTH, #AURA, #SLOWED, ~Interred"
0009,Coalslitch,Rhavlika,FAMILIAR,,,01RHA-03FAM-0009,BURNING RESIDUE,ABILITY,"Whilst any enemy is *engaged in combat* with this character, they become ""Burnt"". During your opponent's epilogue, deal 2d2 damage to all ""Burnt"" enemies. Each ""Burnt"" enemy must pass a rank-2 check to successfully perform ""Disengage"".",,,,,5,6,6,https://drive.google.com/thumbnail?id=1LN2titrT8aGlTS5YXpbTX6NcWRak1HIA&sz=w200,".png,50,0,100",The magic sustaining this familiar keeps it burning forever.,,Coal + Slitch (slit/witch/sludge),A tar/pitch elemental that envelops its foes in hot tar.,"#Grapple, #Direct Damage, ~Burnt"
0010,Vasolith,Rhavlika,FAMILIAR,,,01RHA-03FAM-0010,SHIFT,ABILITY,"After this character performs an *attack* against an adjacent enemy, both they and the enemy, may be *compelled* to **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**, such that both remain adjacent and *engaged in combat*, if they were not defeated. This movement immediately disengages from other combats. ",,,,,5,6,6,https://drive.google.com/thumbnail?id=1gAFT_yO-6aB3GT9fn5u8xM85VWra9uMn&sz=w200,".jpg,50,0,100","The smaller variety are used as farm hands, the larger used to siege forts.",,"Vast + ""-lith"" (stone)","Lizard mixed with tectonic plate. I didn't want another turtle (to explain the ""stuff on its back"" and the way lizards have a very low centre of gravity would mimics how the plate sways.",#Move-and-Attack
