Name (str),Dominion (str),Class (str),Role (str),ID (str),Effect (str),Combat Stats BG (int),Prowess (int),Prowess (img),Fortitude (int),Fortitude (img),Ether (int),Ether (img),Artwork (img)
Flint Dross,Rhavlika,Champion,,01RHV-01CHP-001,"**RANGE(5)**, **FORCE({M3/Icons/Dice/SQUARE.png})**

**Smolder** | *Free Action*
All allies within **AURA(5)** become ""Molten"". If an ally is already ""Molten"", **SHIELD(1)** them instead.",1,10,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Rhavlika/Flint Dross.png,50,0,100"
Obduron,Rhavlika,Familiar,,01RHV-02FAM-002,"**RIPOSTE**

**Guardstone Intercept** | *Free Attack Reaction*
When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** against that enemy.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Obduron.png,50,0,100"
Cinderhulk,Rhavlika,Familiar,,01RHV-02FAM-003,"**Fulminate Slam** | *Attack Manoeuver Action*
Move this character to an available space within **RANGE(6d2)**, they then perform an **ATTACK(-2)** against all enemies within **BLAST(1)**.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Cinderhulk.png,50,0,100"
Saltpetre Pellobok,Rhavlika,Familiar,,01RHV-02FAM-004,"**Volatile** | *Ability*
If this character is ""Molten"", when they suffer damage, each enemy within **BLAST(2)** suffers an **IMPACT(3)**, then destroy this character.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Saltpetre Pellobok.png,50,0,100"
Ripple Elshara,Iro-Si-Khar,Champion,,02IRO-01CHP-005,"**RANGE(5)**

**Current's Embrace** | *Action*
An ally within AURA(5) is *compelled* to MANOEUVRE(1+6d{M3/Icons/Dice/NULL.png}). They may move through all other characters but must end on an available space. This movement immediately disengages combat.",1,8,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Iro-Si-Khar/Ripple Elshara.png,50,0,100"
Tumultuous Dropple,Iro-Si-Khar,Familiar,,02IRO-02FAM-006,"**RANGE(3)**

**Tumult** | *Ability*
Whilst any ally is within **AURA(2)**, they will **SUNDER(-1)** enemies until your next epilogue, on each *attack*.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Tumultuous Dropple.png,50,0,100"
Ponderous Dropple,Iro-Si-Khar,Familiar,,02IRO-02FAM-007,"**RANGE(3)**

**Dampening** | *Action*
Whilst any ally is within **AURA(2)**, they gain **BLOCK(2d2)**. This effect persists until your next epilogue.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Ponderous Dropple.png,50,0,100"
Puddling,Iro-Si-Khar,Familiar,,02IRO-02FAM-008,"**Pool** | *Ability*
When this character is destroyed, they summon 3 ""Driplets"" on any available spaces within **BLAST(1)**.

**Pop** | *Free Action*
Destroy this character.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,3,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Puddling.png,50,0,100"
Driplet,Iro-Si-Khar,Minion,,02IRO-03MIN-009,**UNION(3)**,1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Iro-Si-Khar/Driplet.png,50,0,100"
Lark,Voisira,Champion,,03VOI-01CHP-010,"**RANGE(10)**, **FORCE({M3/Icons/Dice/TRIANGLE.png})**

**Trick Shot** | *Special Action* | 4
**QUICKCHARGE**
This character gains **PATH(5)** but loses **FORCE({M3/Icons/Dice/TRIANGLE.png})** on their next *attack*.",1,9,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Voisira/Lark.png,50,0,100"
