Name (str),Dominion (str),Class (str),Role (str),ID (str),Effect (str),Ether (int),Ether (img),Artwork (img)
Thermal Venting,Rhavlika,Special Action,,01RHA-05SPA-001,"**STRENGTHEN(+1)** an ally until your next prologue. If the ally is ""Molten"", then **STRENGTHEN(+2)** them until your next prologue instead, and are no longer ""Molten"".",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Thermal Venting.png
Fissure Eruption,Rhavlika,Special Action,,01RHA-05SPA-002,"**RESERVE(2)**

An ally performs the following *free action*:
Summon a ""Fissure"" on an available space within RANGE(3) of this character.
Each ""Fissure"" is a *hazard* that causes enemies to suffer 2d2 damage. Each ""Fissure"" is destroyed after triggering. This effect persists until the last ""Fissure"" is destroyed.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Fissure Eruption.png
Smoke Cloud,Rhavlika,Special Action,,01RHA-05SPA-003,"**FORTIFY(+1)** an ally against any *ranged* *attack* until your next prologue. If the ally is ""Molten"", they then additionally gain, **REINFORCE({M3/Icons/Dice/SQUARE.png})** against any *ranged* *attack* until your next prologue and are no longer ""Molten"".",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Smoke Cloud.png
Pyroclastic Discharge,Rhavlika,Special Action,Flint Dross' Signature Action,01RHA-05SPA-004,"All enemies within **BLAST(2)** of any ""Molten"" ally suffers an **IMPACT(4)** and 2d2 damage.
All characters are no longer ""Molten"".",8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Pyroclastic Discharge.png
Obsidian Slumber,Rhavlika,Special Action,,01RHA-05SPA-005,"A character within **RANGE(1)** of a ""Molten"" ally becomes **STUNNED **, cannot be the *origin* or *focus* of effects, and counts as a ""Menhir"".
Each ""Menhir"" is an *obstruction*. This effect persists until your next prologue, and the ally is no longer ""Molten"".",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Obsidian Slumber.png
Harden Crust,Rhavlika,Special Action,,01RHA-05SPA-006,"**HEAL(3d2)** an ally. If the ally is ""Molten"", additionally **SHIELD(3d2)** then and they are no longer ""Molten"".",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Harden Crust.png
Rip Tide,Iro-Si-Khar,Special Action,,02IRO-05SPA-007,"An ally performs the following *free action*:
**PULL(6d{M3/Icons/Dice/NULL.png})** all characters within **PIERCE(5)**. This movement immediately disengages combat",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Rip Tide.png
Lamentable Flow,Iro-Si-Khar,Special Action,Ripple Elshara's Signature Action,02IRO-05SPA-008,"All ally minions are immediately not engaged in combat. All ally minions may move through enemies but must end a *manoeuvre* on an available space, and do not trigger *reactions* due to performing a *manoeuvre* until your next epilogue. The first time an individual minion, moves through an enemy, that enemy suffers an **IMPACT(2)**.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Lamentable Flow.png
Geyser Strike,Iro-Si-Khar,Special Action,,02IRO-05SPA-009,"An ally performs the following *free attack action*:
An enemy within **RANGE(5)** suffers an **IMPACT(3)**, then destroy this character.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Geyser Strike.png
Tidal Surge,Iro-Si-Khar,Special Action,,02IRO-05SPA-010,"An ally performs the following *free action*:
**PUSH(6d{M3/Icons/Dice/NULL.png})** all characters within **PIERCE(3)**. This movement immediately disengages combat.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Tidal Surge.png
Ameliorate,Iro-Si-Khar,Special Action,,02IRO-05SPA-011,"Each *wounded* character summons 1 ""Driplet"" in the nearest available space. *N.B. each wounded Driplet counts as wounded even if in **UNION(X)**, and a **UNION** not at capacity counts as an available space.*",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Ameliorate.png
Caught in the Eddies,Iro-Si-Khar,Special Action,,02IRO-05SPA-012,"Your champion performs the following *free action*:
An enemy within **RANGE(5)** becomes ""Sunk"" until your next prologue. Each ""Sunk"" character is **ROOTED**, and cannot be the origin or focus of any effects.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Caught in the Eddies.png
Dust Bath,Voisira,Special Action,,03VOI-05SPA-013,"An ally may perform ""Disengage"" as a *free action* and gain **ADVANTAGE** on each *melee* *attack* against them until your next prologue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Dust Bath.png
"""Finish them!""",Voisira,Special Action,,03VOI-05SPA-014,"All allies deal +2d2 bonus damage for each *attack* against *wounded* enemies, until you next epilogue.",10,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Finish them.png
Gust,Voisira,Special Action,,03VOI-05SPA-015,"An ally performs the following *free action*:
**PUSH(4d{M3/Icons/Dice/NULL.png})** a character within **RANGE(5)**. This movement immediately disengages combat.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Gust.png
Sand Blast,Voisira,Special Action,,03VOI-05SPA-016,An ally gains **BLAST(1)** until your next epilogue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Sand Blast.png
"""Let the talons fly!""",Voisira,Special Action,,03VOI-05SPA-017,An ally may perform an **ATTACK** 2 additional times as a *free actions* until your next epilogue.,8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Let the talons fly.png
Snare,Voisira,Special Action,,03VOI-05SPA-018,"**RESERVE(2)**

An ally performs the following *free action*:
Summon a ""Trap"" on an available space within **RANGE(3)** of this character.
Each ""Trap"" is a *hazard* that causes enemies to suffer 2d2 damage become **ROOTED** until after their next direction. Each ""Trap"" is destroyed after triggering. This effect persists until the last ""Trap"" is destroyed.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Snare.png
Tonalhualli,Xalakith,Special Action,,04XAL-05SPA-019,**HEAL(4D2)** an ally.,4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Tonalhualli.png
